id_area_servicio;Nombre Area;id_icono;color
6361;"Inspecciones";1;"#d82c2c"
6437;"Cédulas de Notificación";1;"#340d91"
6717;"Alumbrado Público";1;"#ead81a"
6891;"Luminaria - interno";1;"#dccb09"
6895;"Relevamiento Luminaria";1;"#712323"
7007;"Inscripción de profesionales";1;"#a41919"
7008;"Flota vehicular";1;"#b06d6d"
7176;"Mantenimiento Educación - Tareas de Mant";1;"#e77f08"
7177;"Mantenimiento Educación - Trabajos de El";1;"#eec911"
7178;"Mantenimiento Educación - Trabajos de Sa";1;"#f00505"
7179;"Mantenimiento Educación - Trabajos de Al";1;"#0910ec"
7180;"Mantenimiento Educación - Trabajos de Pi";1;"#75e506"
7181;"Mantenimiento Educación - Trabajos de Ca";1;"#f38a12"
7197;"Habilitación Comercial";1;"#8d4949"
7299;"Permiso de Obra";1;"#c07c7c"
7325;"Parque informático";1;"#160808"
7378;"Obras Municipales - Pluviales";1;"#ed0c0c"
7533;"Arbolado";1;"#51ad05"
7534;"Calles y veredas";1;"#082fc9"
7535;"Espacios verdes y plazas";1;"#83e85e"
7536;"Recol. res. reciclables";1;"#f8803f"
7537;"Recol. res. y limpieza";1;"#f21c1c"
7538;"Inconvenientes con empresa de servicio p";1;"#f5f906"
7539;"Licencia de Conducir";1;"#0918f1"
7540;"Mantenimiento general";1;"#04a8be"
7541;"Recol. res. y limpieza en es";1;"#ed0707"
7542;"Retiro de animales muertos";1;"#f80d0d"
7543;"Señalamiento Vial";1;"#d0ae06"
7544;"Tránsito";1;"#e2e60a"
7545;"Vehículo abandonado";1;"#820366"
7584;"Mantenimiento vial y Servicios";1;"#143af5"
7585;"Relevamiento Punto Seguro";1;"#a99898"
7794;"Emergencia Climática";1;"#f50f0f"
7814;"Asesoramiento";1;"#ee1717"
7874;"Control de incidentes";1;"#a9a7a7"
7884;"Inconveniente con olores y plagas en com";1;"#f00000"
7885;"Inconvenientes con ruidos molestos";1;"#00ffd5"
7886;"Irregularidades en Actividades Comercial";1;"#0011ff"
7887;"Consulta sobre habilitación comercial no";1;"#1119e8"
7889;"Contaminación por derrames tóxicos o agu";1;"#c51ba1"
7890;"Ocupación Irregular del Espacio Público";1;"#46c92c"
7891;"Inconveniente con plagas en vía pública";1;"#d9980d"
7892;"Inconvenientes con olores en vía pública";1;"#1ad2e0"
7893;"Comercio";1;"#ff00d0"
7894;"Control de norma de seguridad – comercio";1;"#2bff00"
7895;"Higiene y seguridad – comercio/industria";1;"#00ff9d"
7918;"Habilitación Comercial - DEMO";1;"#c67676"
7984;"Educación - Tareas de Mantenimiento Gral";1;"#14f061"
7985;"Educación - Trabajos de electricidad";1;"#12d972"
7986;"Trabajos de Sanitarios";1;"#12d972"
7987;"Educación - Trabajos de Gas y Termomecán";1;"#12d972"
7988;"Educación - Trabajos de Sanitarios";1;"#12d972"
7989;"Educación - Trabajos Carpintería,Vidrio,";1;"#12d972"
7990;"Educación - Trabajos de Seguridad e Higi";1;"#12d972"
8013;"Trabajos de Gas - Termomecánica y Refrig";1;"#dfc33a"
8014;"Educación- Trabajos de Comunicación y Co";1;"#432de6"
8025;"Seguridad e Higiene";1;"#f06666"
8070;"Relevamiento Comercios";1;"#df1111"
