id_orden;id_personal;observaciones;asignado_por;fecha_asignacion
436102;28877;"";"SYSTEM";2024-05-17 16:12:35,000
436103;28877;"";"SYSTEM";2024-05-17 16:12:36,000
436104;28877;"";"SYSTEM";2024-05-17 16:12:38,000
436105;28877;"";"SYSTEM";2024-05-17 16:12:40,000
436106;28877;"";"SYSTEM";2024-05-17 16:12:41,000
436107;28877;"";"SYSTEM";2024-05-17 16:12:43,000
436507;28877;"";"SYSTEM";2024-05-17 16:23:53,000
436508;28877;"";"SYSTEM";2024-05-17 16:23:55,000
436509;28877;"";"SYSTEM";2024-05-17 16:23:56,000
436510;28877;"";"SYSTEM";2024-05-17 16:23:58,000
436511;28877;"";"SYSTEM";2024-05-17 16:24:00,000
436512;28877;"";"SYSTEM";2024-05-17 16:24:01,000
436513;28877;"";"SYSTEM";2024-05-17 16:24:03,000
436514;28877;"";"SYSTEM";2024-05-17 16:24:05,000
436529;28877;"";"SYSTEM";2024-05-17 16:24:30,000
436530;28877;"";"SYSTEM";2024-05-17 16:24:31,000
436531;28877;"";"SYSTEM";2024-05-17 16:24:33,000
436532;28877;"";"SYSTEM";2024-05-17 16:24:35,000
436533;28877;"";"SYSTEM";2024-05-17 16:24:36,000
436534;28877;"";"SYSTEM";2024-05-17 16:24:38,000
436535;28877;"";"SYSTEM";2024-05-17 16:24:40,000
436536;28877;"";"SYSTEM";2024-05-17 16:24:41,000
436537;28877;"";"SYSTEM";2024-05-17 16:24:43,000
436538;28877;"";"SYSTEM";2024-05-17 16:24:45,000
436539;28877;"";"SYSTEM";2024-05-17 16:24:46,000
436540;28877;"";"SYSTEM";2024-05-17 16:24:48,000
436541;28877;"";"SYSTEM";2024-05-17 16:24:50,000
436542;28877;"";"SYSTEM";2024-05-17 16:24:51,000
436543;28877;"";"SYSTEM";2024-05-17 16:24:53,000
436544;28877;"";"SYSTEM";2024-05-17 16:24:55,000
436545;28877;"";"SYSTEM";2024-05-17 16:24:56,000
436546;28877;"";"SYSTEM";2024-05-17 16:24:58,000
436547;28877;"";"SYSTEM";2024-05-17 16:25:00,000
436548;28877;"";"SYSTEM";2024-05-17 16:25:01,000
436549;28877;"";"SYSTEM";2024-05-17 16:25:03,000
436550;28877;"";"SYSTEM";2024-05-17 16:25:05,000
436551;28877;"";"SYSTEM";2024-05-17 16:25:06,000
436552;28877;"";"SYSTEM";2024-05-17 16:25:08,000
436553;28877;"";"SYSTEM";2024-05-17 16:25:10,000
436554;28877;"";"SYSTEM";2024-05-17 16:25:11,000
436555;28877;"";"SYSTEM";2024-05-17 16:25:13,000
436556;28877;"";"SYSTEM";2024-05-17 16:25:15,000
436557;28877;"";"SYSTEM";2024-05-17 16:25:17,000
436558;28877;"";"SYSTEM";2024-05-17 16:25:18,000
436559;28877;"";"SYSTEM";2024-05-17 16:25:20,000
436560;28877;"";"SYSTEM";2024-05-17 16:25:22,000
436561;28877;"";"SYSTEM";2024-05-17 16:25:23,000
436562;28877;"";"SYSTEM";2024-05-17 16:25:25,000
436563;28877;"";"SYSTEM";2024-05-17 16:25:27,000
436564;28877;"";"SYSTEM";2024-05-17 16:25:28,000
436565;28877;"";"SYSTEM";2024-05-17 16:25:30,000
436566;28877;"";"SYSTEM";2024-05-17 16:25:32,000
436567;28877;"";"SYSTEM";2024-05-17 16:25:33,000
436568;28877;"";"SYSTEM";2024-05-17 16:25:35,000
436569;28877;"";"SYSTEM";2024-05-17 16:25:37,000
436570;28877;"";"SYSTEM";2024-05-17 16:25:38,000
436571;28877;"";"SYSTEM";2024-05-17 16:25:40,000
436572;28877;"";"SYSTEM";2024-05-17 16:25:42,000
436573;28877;"";"SYSTEM";2024-05-17 16:25:43,000
436574;28877;"";"SYSTEM";2024-05-17 16:25:45,000
436575;28877;"";"SYSTEM";2024-05-17 16:25:47,000
436576;28877;"";"SYSTEM";2024-05-17 16:25:48,000
436577;28877;"";"SYSTEM";2024-05-17 16:25:50,000
436578;28877;"";"SYSTEM";2024-05-17 16:25:52,000
436579;28877;"";"SYSTEM";2024-05-17 16:25:53,000
436580;28877;"";"SYSTEM";2024-05-17 16:25:55,000
436581;28877;"";"SYSTEM";2024-05-17 16:25:57,000
436582;28877;"";"SYSTEM";2024-05-17 16:25:58,000
