id_ubicacionxbarrio;latitud;longitud;id_barrio
700905;-34,5312811224661;-58,4612093046257;25014
700906;-34,5332974906401;-58,4637851885758;25014
700907;-34,5331949922376;-58,4637801164719;25014
700908;-34,5333681829229;-58,4641542774054;25014
700909;-34,533389593;-58,4641549849999;25014
700910;-34,5335657529999;-58,464539906;25014
700911;-34,5341270818916;-58,4657664356917;25014
700912;-34,5341154140701;-58,4657731794785;25014
700913;-34,5346273329853;-58,466945035236;25014
700914;-34,5346484998921;-58,4671951536556;25014
700915;-34,5346613383959;-58,4674998828024;25014
700916;-34,5348520784759;-58,4676161947573;25014
700917;-34,53490833261;-58,4677894297792;25014
700918;-34,5350454147016;-58,4679394008127;25014
700919;-34,5350915641251;-58,4680256884093;25014
700920;-34,5351648839332;-58,4681223699826;25014
700921;-34,5352756148324;-58,4683272830873;25014
700922;-34,5354521558182;-58,4687488252699;25014
700923;-34,5358781427161;-58,4696559311372;25014
700924;-34,5359338481516;-58,4697856126963;25014
700925;-34,5364923950572;-58,4712022207614;25014
700926;-34,5371852558389;-58,4732699100139;25014
700927;-34,5372318100908;-58,4733888712092;25014
700928;-34,5375500361897;-58,4743306627801;25014
700929;-34,5377923566653;-58,4749688695731;25014
700930;-34,5381746015166;-58,4759857510728;25014
700931;-34,5382356215514;-58,4761806960522;25014
700932;-34,5363324031328;-58,477152079436;25014
700933;-34,5353562807989;-58,4776599836594;25014
700934;-34,5344066469484;-58,4781238272331;25014
700935;-34,5335195474299;-58,4785429562875;25014
700936;-34,5326420000067;-58,4790054677522;25014
700937;-34,5323910392738;-58,4791189454523;25014
700938;-34,5315580034774;-58,4795370701231;25014
700939;-34,5305549705283;-58,4800562956731;25014
700940;-34,5296237545808;-58,4805524216834;25014
700941;-34,5288447807952;-58,4809695353589;25014
700942;-34,5277434280646;-58,481555855039;25014
700943;-34,5265529058144;-58,4822200108178;25014
700944;-34,5238766367268;-58,4837278591723;25014
700945;-34,5228738524325;-58,4842687591719;25014
700946;-34,5220500766969;-58,4847083938214;25014
700947;-34,5208494421924;-58,48528552118;25014
700948;-34,5184951088074;-58,4865913285205;25014
700949;-34,5183832086199;-58,4866532448423;25014
700950;-34,5182216642094;-58,4863458164971;25014
700951;-34,5179071795448;-58,4856981393454;25014
700952;-34,5171209533447;-58,4840789681509;25014
700953;-34,5162979845308;-58,4824060478024;25014
700954;-34,5156779828141;-58,4811105953459;25014
700955;-34,5148547035903;-58,4794159609397;25014
700956;-34,5140501027585;-58,4777754649004;25014
700957;-34,5140316730021;-58,4777431333854;25014
700958;-34,5133747632341;-58,4763830899195;25014
700959;-34,5127552433879;-58,4751312740847;25014
700960;-34,5123658228484;-58,4742618295557;25014
700961;-34,5122628219671;-58,4739533799204;25014
700962;-34,5129081009366;-58,4736585051696;25014
700963;-34,5123424358581;-58,4719316100388;25014
700964;-34,512297948052;-58,4718846420577;25014
700965;-34,5121589127833;-58,4713412619031;25014
700966;-34,511479407866;-58,4708069328911;25014
700967;-34,5114665594528;-58,4704207505347;25014
700968;-34,5115570589808;-58,4704163561379;25014
700969;-34,5116205809999;-58,47038961;25014
700970;-34,511776996;-58,470377578;25014
700971;-34,511806179;-58,4703753329999;25014
700972;-34,5119917769999;-58,4703753329999;25014
700973;-34,511998691;-58,470373103;25014
700974;-34,5122130669999;-58,470303949;25014
