id_ubicacionxzona;latitud;longitud;id_zona;id_geometria_zona
937578;-34,5176976791632;-58,4697832197415;25267;
937579;-34,5183644484247;-58,4713994926225;25267;
937580;-34,5184691530251;-58,4716193722833;25267;
937581;-34,5186429626617;-58,472065413881;25267;
937582;-34,5191455447436;-58,4733637509259;25267;
937583;-34,5196020568013;-58,4746327706827;25267;
937584;-34,51977796053;-58,4750683418203;25267;
937585;-34,5198617242103;-58,475244245549;25267;
937586;-34,5199036060505;-58,4752986919412;25267;
937587;-34,5199496760747;-58,4753782674375;25267;
937588;-34,5204313172365;-58,4764043725214;25267;
937589;-34,5209464638704;-58,4774786417214;25267;
937590;-34,5214448577683;-58,4785937457156;25267;
937591;-34,5219474398502;-58,4796240389835;25267;
937592;-34,522432745673;-58,4806344383773;25267;
937593;-34,5229122927429;-58,4816647316452;25267;
937594;-34,5234174924398;-58,4827013071891;25267;
937595;-34,5238745280205;-58,4836342251786;25267;
937596;-34,524006455817;-58,4839242569217;25267;
937597;-34,5246629536615;-58,4852414407947;25267;
937598;-34,5252508699927;-58,4864272203942;25267;
937599;-34,5258351216629;-58,4876103823787;25267;
937600;-34,5264225144711;-58,4887935443631;25267;
937601;-34,5269921074973;-58,4899829886236;25267;
937602;-34,5275952059956;-58,491159868332;25267;
937603;-34,5281689872057;-58,4923367480405;25267;
937604;-34,528755332968;-58,493522004117;25267;
937605;-34,5293123614421;-58,4946737547214;25267;
937606;-34,5295217706429;-58,495121890411;25267;
937607;-34,5299028953883;-58,495909269006;25267;
937608;-34,5304766765985;-58,4970735841624;25267;
937609;-34,5310546459926;-58,4982630284229;25267;
937610;-34,5316451799389;-58,4994629431434;25267;
937611;-34,5322315257011;-58,500673328324;25267;
937612;-34,5327979775892;-58,5018549197395;25267;
937613;-34,5334073583636;-58,5030632108281;25267;
937614;-34,5339560104696;-58,5042044909724;25267;
937615;-34,5345549207839;-58,505408593877;25267;
937616;-34,535118231534;-58,5065854735854;25267;
937617;-34,5357297064003;-58,5078461169742;25267;
937618;-34,5361569011699;-58,5087507647216;25267;
937619;-34,536437509499;-58,5093412986678;25267;
937620;-34,5368898333727;-58,5102501345993;25267;
937621;-34,5374489559388;-58,5114165438477;25267;
937622;-34,5377107174398;-58,5119589136777;25267;
