id_usuario_x_identificador;fecha_alta;id_identificador;id_usuario;id_usuario_alta
2510804;2025-06-04 16:26:50,000;1224867;39930;39932
2510805;2025-06-04 16:26:50,000;1224868;39930;39932
2510806;2025-06-04 16:26:50,000;1224869;39930;39932
2510807;2025-06-04 16:26:50,000;1224870;39930;39932
2510808;2025-06-04 16:26:50,000;1224871;39930;39932
2510809;2025-06-04 16:26:50,000;1224872;39930;39932
2510810;2025-06-04 16:26:50,000;1224873;39930;39932
2510811;2025-06-04 16:26:50,000;1224874;39930;39932
2510812;2025-06-04 16:26:50,000;1224875;39930;39932
2510813;2025-06-04 16:26:50,000;1224876;39930;39932
2510814;2025-06-04 16:26:50,000;1224877;39930;39932
2510815;2025-06-04 16:26:50,000;1224878;39930;39932
2510816;2025-06-04 16:26:50,000;1224879;39930;39932
2510817;2025-06-04 16:26:50,000;1224880;39930;39932
2510818;2025-06-04 16:26:50,000;1224881;39930;39932
2510819;2025-06-04 16:26:50,000;1224882;39930;39932
2510820;2025-06-04 16:26:50,000;1224883;39930;39932
2510821;2025-06-04 16:26:50,000;1224884;39930;39932
2510822;2025-06-04 16:26:50,000;1224885;39930;39932
2510823;2025-06-04 16:26:50,000;1224886;39930;39932
2510824;2025-06-04 16:26:50,000;1224887;39930;39932
2510825;2025-06-04 16:26:50,000;1224888;39930;39932
2510826;2025-06-04 16:26:50,000;1224889;39930;39932
2510827;2025-06-04 16:26:50,000;1224890;39930;39932
2510828;2025-06-04 16:26:50,000;1224891;39930;39932
2510829;2025-06-04 16:26:50,000;1224892;39930;39932
2510830;2025-06-04 16:26:50,000;1224893;39930;39932
2510831;2025-06-04 16:26:50,000;1224894;39930;39932
2510832;2025-06-04 16:26:50,000;1224895;39930;39932
2510833;2025-06-04 16:26:50,000;1224896;39930;39932
2510834;2025-06-04 16:26:50,000;1224897;39930;39932
2510835;2025-06-04 16:26:50,000;1224898;39930;39932
2510836;2025-06-04 16:26:50,000;1224899;39930;39932
2510837;2025-06-04 16:26:50,000;1224900;39930;39932
2510838;2025-06-04 16:26:50,000;1224901;39930;39932
2510839;2025-06-04 16:26:50,000;1224902;39930;39932
2510840;2025-06-04 16:26:50,000;1224903;39930;39932
2510841;2025-06-04 16:26:50,000;1224904;39930;39932
2510842;2025-06-04 16:26:50,000;1224905;39930;39932
2510843;2025-06-04 16:26:50,000;1224906;39930;39932
2510844;2025-06-04 16:26:50,000;1224907;39930;39932
2510845;2025-06-04 16:26:50,000;1224908;39930;39932
2510846;2025-06-04 16:26:50,000;1224909;39930;39932
2510847;2025-06-04 16:26:50,000;1224910;39930;39932
2510848;2025-06-04 16:26:50,000;1224911;39930;39932
2510849;2025-06-04 16:26:50,000;1224912;39930;39932
2510850;2025-06-04 16:26:50,000;1224913;39930;39932
2510851;2025-06-04 16:26:50,000;1224914;39930;39932
2510852;2025-06-04 16:26:50,000;1224915;39930;39932
2510853;2025-06-04 16:26:50,000;1224916;39930;39932
2510854;2025-06-04 16:26:50,000;1224917;39930;39932
2510855;2025-06-04 16:26:50,000;1224918;39930;39932
2510856;2025-06-04 16:26:50,000;1224919;39930;39932
