id_usuario_x_tipo_incidente;id_tipo_incidente;id_usuario;movil;web
3594010;16835;34839;1;1
3594011;16837;34839;1;1
3594012;16839;34839;1;1
3594013;16874;34839;1;1
3594014;16878;34839;1;1
3594015;16880;34839;1;1
3594016;16882;34839;1;1
3594017;16884;34839;1;1
3594018;16886;34839;1;1
3594019;16887;34839;1;1
3594020;16888;34839;1;1
3594021;16889;34839;1;1
3594022;16890;34839;1;1
3594023;16894;34839;1;1
3594024;17405;34839;1;1
3594025;17406;34839;1;1
3594026;17407;34839;1;1
3594027;17417;34839;1;1
3594028;17565;34839;1;1
3594029;17573;34839;1;1
3594030;17811;34839;1;1
3594031;17812;34839;1;1
3594032;17815;34839;1;1
3594033;17816;34839;1;1
3594034;17817;34839;1;1
3594035;17821;34839;1;1
3594036;17822;34839;1;1
3594037;17823;34839;1;1
3594038;17824;34839;1;1
3594039;17825;34839;1;1
3594040;17826;34839;1;1
3594041;17827;34839;1;1
3594042;17828;34839;1;1
3594043;17842;34839;1;1
3594044;17845;34839;1;1
3594045;17849;34839;1;1
3594046;17874;34839;1;1
3594047;17875;34839;1;1
3594048;17877;34839;1;1
3594049;17878;34839;1;1
3594050;17879;34839;1;1
3594051;17880;34839;1;1
3594052;17881;34839;1;1
3594053;17882;34839;1;1
3594054;17911;34839;1;1
3594055;17921;34839;1;1
3594056;18120;34839;1;1
3594057;18151;34839;1;1
3594058;21195;34839;1;1
3594059;21861;34839;1;1
3594060;21862;34839;1;1
3594061;21863;34839;1;1
3594062;21864;34839;1;1
3594063;21865;34839;1;1
3594064;21866;34839;1;1
3594065;21867;34839;1;1
3594066;21868;34839;1;1
3594067;21869;34839;1;1
3594068;21870;34839;1;1
3594069;21871;34839;1;1
3594070;21872;34839;1;1
3594071;21873;34839;1;1
3594072;21874;34839;1;1
3594073;21875;34839;1;1
3594074;21876;34839;1;1
3594075;21877;34839;1;1
3594076;21878;34839;1;1
3594077;21879;34839;1;1
3594078;21880;34839;1;1
3594079;21881;34839;1;1
3594080;21882;34839;1;1
3594081;21883;34839;1;1
3594082;21884;34839;1;1
3594083;21885;34839;1;1
3594084;21886;34839;1;1
