id_zona_x_area_x_municipio;id_area_x_municipio;id_zona
8915;14630;24735
8916;14630;24737
8917;14069;23850
8918;14069;23851
8919;14069;23852
8920;14069;23853
8921;14069;23854
8922;14069;23855
8923;14069;23856
8924;14069;23857
8925;14069;23858
8926;14069;23859
8963;14634;24735
8964;14634;24737
8973;14148;25266
8974;14148;25267
21588;15081;25308
21718;15305;25308
21719;15306;25308
21720;15307;25308
21721;15308;25308
21722;15309;25308
21723;15310;25308
21724;15311;25308
21725;15312;25308
21726;15313;25308
21727;15314;25308
21728;15315;25308
21729;15316;25308
21730;15317;25308
21731;15362;25308
21753;14446;24735
21754;14446;24737
21771;15599;25308
21864;14751;25308
21865;15575;25308
22515;15662;25308
22516;15675;25308
22517;15677;25308
22518;15672;25308
22519;15673;25308
22520;15679;25308
22521;15680;25308
22522;15674;25308
22523;15678;25308
24501;15145;29230
24502;15145;29231
24645;14750;25308
