id_agrup;Agrupación_incidente
1;"ACTIVOS"
2;"ALUMBRADO - INTERNO MVL"
3;"ALUMBRADO PÚBLICO"
4;"ARBOLADO Y PLAZAS"
5;"CALL CENTER"
6;"CALLES Y VEREDAS"
7;"CONTROL DE ACTIVIDADES  COMERCIALES"
8;"CONTROL DEL ESPACIO PÚBLICO"
9;"CULTURA"
10;"DEPORTES"
11;"DESARROLLO SOCIAL"
12;"EDUCACION"
13;"FISCALIZACIÓN Y CONTROL"
14;"GOBIERNO"
15;"INGRESOS PÚBLICOS"
16;"INSPECCIONES"
17;"OBRAS MUNICIPALES"
18;"OBRAS PARTICULARES"
19;"RECURSOS HUMANOS"
20;"RESIDUOS Y LIMPIEZA"
21;"RESIDUOS Y LIMPIEZA"
22;"SALUD"
23;"SEGURIDAD"
24;"TERMOMECANICA"
25;"TRANSFORMACION DIGITAL"
26;"TRÁNSITO"
