Date;Año;NroMes;Mes;NroTrimestre;Trimestre;Día
1900-01-01 00:00:00,000;1900;1;"enero";1;"Trim. 1";1
1900-01-02 00:00:00,000;1900;1;"enero";1;"Trim. 1";2
1900-01-03 00:00:00,000;1900;1;"enero";1;"Trim. 1";3
1900-01-04 00:00:00,000;1900;1;"enero";1;"Trim. 1";4
1900-01-05 00:00:00,000;1900;1;"enero";1;"Trim. 1";5
1900-01-06 00:00:00,000;1900;1;"enero";1;"Trim. 1";6
1900-01-07 00:00:00,000;1900;1;"enero";1;"Trim. 1";7
1900-01-08 00:00:00,000;1900;1;"enero";1;"Trim. 1";8
1900-01-09 00:00:00,000;1900;1;"enero";1;"Trim. 1";9
1900-01-10 00:00:00,000;1900;1;"enero";1;"Trim. 1";10
1900-01-11 00:00:00,000;1900;1;"enero";1;"Trim. 1";11
1900-01-12 00:00:00,000;1900;1;"enero";1;"Trim. 1";12
1900-01-13 00:00:00,000;1900;1;"enero";1;"Trim. 1";13
1900-01-14 00:00:00,000;1900;1;"enero";1;"Trim. 1";14
1900-01-15 00:00:00,000;1900;1;"enero";1;"Trim. 1";15
1900-01-16 00:00:00,000;1900;1;"enero";1;"Trim. 1";16
1900-01-17 00:00:00,000;1900;1;"enero";1;"Trim. 1";17
1900-01-18 00:00:00,000;1900;1;"enero";1;"Trim. 1";18
1900-01-19 00:00:00,000;1900;1;"enero";1;"Trim. 1";19
1900-01-20 00:00:00,000;1900;1;"enero";1;"Trim. 1";20
1900-01-21 00:00:00,000;1900;1;"enero";1;"Trim. 1";21
1900-01-22 00:00:00,000;1900;1;"enero";1;"Trim. 1";22
1900-01-23 00:00:00,000;1900;1;"enero";1;"Trim. 1";23
1900-01-24 00:00:00,000;1900;1;"enero";1;"Trim. 1";24
1900-01-25 00:00:00,000;1900;1;"enero";1;"Trim. 1";25
1900-01-26 00:00:00,000;1900;1;"enero";1;"Trim. 1";26
1900-01-27 00:00:00,000;1900;1;"enero";1;"Trim. 1";27
1900-01-28 00:00:00,000;1900;1;"enero";1;"Trim. 1";28
1900-01-29 00:00:00,000;1900;1;"enero";1;"Trim. 1";29
1900-01-30 00:00:00,000;1900;1;"enero";1;"Trim. 1";30
1900-01-31 00:00:00,000;1900;1;"enero";1;"Trim. 1";31
1900-02-01 00:00:00,000;1900;2;"febrero";1;"Trim. 1";1
1900-02-02 00:00:00,000;1900;2;"febrero";1;"Trim. 1";2
1900-02-03 00:00:00,000;1900;2;"febrero";1;"Trim. 1";3
1900-02-04 00:00:00,000;1900;2;"febrero";1;"Trim. 1";4
1900-02-05 00:00:00,000;1900;2;"febrero";1;"Trim. 1";5
1900-02-06 00:00:00,000;1900;2;"febrero";1;"Trim. 1";6
1900-02-07 00:00:00,000;1900;2;"febrero";1;"Trim. 1";7
1900-02-08 00:00:00,000;1900;2;"febrero";1;"Trim. 1";8
1900-02-09 00:00:00,000;1900;2;"febrero";1;"Trim. 1";9
1900-02-10 00:00:00,000;1900;2;"febrero";1;"Trim. 1";10
1900-02-11 00:00:00,000;1900;2;"febrero";1;"Trim. 1";11
1900-02-12 00:00:00,000;1900;2;"febrero";1;"Trim. 1";12
1900-02-13 00:00:00,000;1900;2;"febrero";1;"Trim. 1";13
1900-02-14 00:00:00,000;1900;2;"febrero";1;"Trim. 1";14
1900-02-15 00:00:00,000;1900;2;"febrero";1;"Trim. 1";15
1900-02-16 00:00:00,000;1900;2;"febrero";1;"Trim. 1";16
1900-02-17 00:00:00,000;1900;2;"febrero";1;"Trim. 1";17
1900-02-18 00:00:00,000;1900;2;"febrero";1;"Trim. 1";18
1900-02-19 00:00:00,000;1900;2;"febrero";1;"Trim. 1";19
1900-02-20 00:00:00,000;1900;2;"febrero";1;"Trim. 1";20
1900-02-21 00:00:00,000;1900;2;"febrero";1;"Trim. 1";21
1900-02-22 00:00:00,000;1900;2;"febrero";1;"Trim. 1";22
1900-02-23 00:00:00,000;1900;2;"febrero";1;"Trim. 1";23
1900-02-24 00:00:00,000;1900;2;"febrero";1;"Trim. 1";24
1900-02-25 00:00:00,000;1900;2;"febrero";1;"Trim. 1";25
1900-02-26 00:00:00,000;1900;2;"febrero";1;"Trim. 1";26
1900-02-27 00:00:00,000;1900;2;"febrero";1;"Trim. 1";27
1900-02-28 00:00:00,000;1900;2;"febrero";1;"Trim. 1";28
1900-03-01 00:00:00,000;1900;3;"marzo";1;"Trim. 1";1
1900-03-02 00:00:00,000;1900;3;"marzo";1;"Trim. 1";2
1900-03-03 00:00:00,000;1900;3;"marzo";1;"Trim. 1";3
1900-03-04 00:00:00,000;1900;3;"marzo";1;"Trim. 1";4
1900-03-05 00:00:00,000;1900;3;"marzo";1;"Trim. 1";5
1900-03-06 00:00:00,000;1900;3;"marzo";1;"Trim. 1";6
1900-03-07 00:00:00,000;1900;3;"marzo";1;"Trim. 1";7
1900-03-08 00:00:00,000;1900;3;"marzo";1;"Trim. 1";8
1900-03-09 00:00:00,000;1900;3;"marzo";1;"Trim. 1";9
