id_tipo_incidente;id_clase;id_agrup
40406;4;16
40407;4;16
40408;4;16
40409;4;16
40410;4;16
40411;4;16
40412;4;16
40413;4;16
41031;2;13
43101;6;3
43102;6;3
43103;6;3
43104;6;3
43105;4;2
44532;4;2
44533;4;2
44534;4;2
44535;4;2
44536;4;2
44537;4;2
44615;4;2
45513;5;1
47317;7;13
47318;7;13
47319;7;13
47320;7;13
47321;7;13
47322;7;13
47323;7;13
48327;7;18
48546;2;1
49061;5;17
49062;5;17
49063;5;17
49064;5;17
49065;5;17
50190;5;1
50354;6;4
50355;6;4
50356;6;6
50360;6;6
50361;6;6
50362;6;6
50363;6;6
50364;6;6
50365;6;6
50366;6;6
50367;6;6
50368;6;6
50369;6;6
50370;6;6
50371;6;4
50372;6;4
50373;6;8
50374;6;6
50375;6;4
50376;6;4
50377;6;4
50378;6;4
50379;6;4
50380;6;4
50381;6;4
50382;6;4
50383;6;4
50384;6;4
50385;6;4
50386;6;4
50387;6;4
50388;6;4
50389;6;4
50390;6;4
50391;6;4
50392;6;4
50393;6;20
50394;6;20
50395;6;20
50396;6;20
50397;6;20
50398;6;20
50399;6;20
50400;6;20
50401;6;20
50402;6;20
50403;6;20
50404;6;20
50405;6;20
50406;6;20
50407;6;20
50408;6;20
50409;6;20
50410;6;20
50411;6;20
50412;6;20
50413;6;20
50414;6;20
50415;6;20
50416;6;20
50417;6;20
50418;6;8
50419;6;8
50420;6;8
50421;6;8
50422;6;8
50423;6;8
50424;6;8
50425;6;8
50426;6;26
50427;6;6
50428;6;8
50429;6;8
50430;6;8
50431;6;20
50432;6;20
50433;6;6
50434;6;6
50435;6;6
50436;6;26
50437;6;26
50438;6;26
50439;6;26
50440;6;8
50441;6;6
50442;6;6
50443;6;6
50444;6;26
50445;6;26
50446;6;26
50594;6;3
50595;6;3
50596;6;3
50597;6;3
50598;6;3
50638;6;26
50653;2;1
50937;6;4
51389;4;
51390;4;
51391;4;
51392;4;
51393;4;
51394;4;
51395;4;
51396;4;
51397;4;
51398;4;
51399;4;
51400;4;
51401;4;
51402;4;
51403;4;
51404;4;
51405;4;
51406;4;
51407;4;
51408;4;
51409;4;
51410;4;
51549;1;13
51550;1;23
51551;1;20
51552;1;22
51553;1;14
51554;1;14
51555;1;23
51556;1;13
51557;1;26
51558;1;22
51559;1;22
51560;1;15
51561;1;5
51562;1;15
51563;1;5
51564;1;26
51565;3;5
51566;1;9
51567;1;9
51568;1;11
51569;1;12
51570;1;13
51571;1;15
51572;1;4
51573;1;22
51574;1;9
51575;1;22
51576;1;11
51577;1;22
51578;1;22
51579;1;9
51580;1;11
51581;1;12
51582;1;11
51583;3;5
51584;3;19
51585;3;25
51586;1;15
51587;1;15
51588;1;15
51589;1;15
51590;1;10
51591;1;11
51592;1;10
51593;3;5
51594;3;5
51595;3;5
51596;3;5
51597;1;15
51598;1;20
51599;1;15
51600;1;9
51601;3;5
51602;1;15
51716;1;4
51717;1;4
51718;1;4
52261;4;26
52328;6;8
52329;6;8
52330;6;7
52332;6;7
52333;6;7
52334;6;7
52335;6;7
52336;6;7
52337;6;7
52338;6;7
52339;6;7
52340;6;7
52341;6;7
52342;6;7
52343;6;7
52344;6;7
52345;1;13
52348;6;8
52349;6;8
52350;6;8
52351;6;8
52352;6;8
52354;6;8
52355;6;8
52356;6;8
52357;6;8
52359;6;8
52360;6;8
52361;6;8
52362;6;8
52363;6;8
52364;6;8
52367;4;13
52368;4;13
52369;4;13
52370;6;7
52371;6;7
52372;6;7
52373;6;7
52374;6;7
52663;7;13
52664;7;13
52665;7;13
52666;7;13
52667;7;13
52668;7;13
52669;7;13
52670;7;13
52671;7;13
52672;7;13
52673;7;13
52802;1;22
52803;1;22
52804;3;22
52805;1;22
52829;1;22
52863;6;26
53047;4;16
53048;6;26
53131;5;12
53132;5;12
53133;5;12
53134;5;12
53135;5;12
53136;5;12
53137;5;12
53138;5;12
53139;5;12
53140;5;12
53141;5;12
53142;5;12
53143;5;12
53144;5;12
53154;5;12
53155;5;12
53156;5;12
53157;5;12
53158;5;12
53159;5;12
53160;5;12
53161;5;12
53162;5;12
53163;5;12
53164;5;12
53165;5;12
53166;5;12
53167;5;12
53168;5;12
53169;5;12
53170;5;12
53171;5;12
53172;5;12
53173;5;12
53174;5;12
53175;5;12
53176;5;12
53177;5;12
53178;5;12
53179;5;12
53430;5;17
53431;5;17
53432;5;17
53433;5;17
53434;5;17
53435;5;17
53436;5;17
53438;5;17
53514;5;24
53515;5;24
53516;5;24
53517;5;24
53518;5;24
53519;5;12
53520;5;12
53521;5;12
53522;5;12
53523;5;12
53581;4;13
53582;4;13
53872;4;13
53873;4;13
53997;7;14
53998;7;14
53999;7;14
54000;7;14
54001;7;14
54002;7;14
54003;7;14
54004;7;14
55220;4;16
56923;2;1
56964;5;1
56969;5;1
56970;5;1
56971;5;1
56972;5;1
57606;1;18
58461;5;1
58641;7;18
58642;1;18
58861;7;18
58864;7;18
59061;7;13
60520;6;6
60524;6;6
60525;6;6
60526;6;6
60527;6;6
60528;6;6
60529;6;6
60530;6;6
60853;3;13
60854;3;13
60855;3;13
60856;3;7
60857;3;7
60858;3;8
60859;3;13
60860;3;8
60861;3;13
60862;3;13
60863;1;13
60864;1;13
60865;1;13
60867;1;13
60868;1;13
60869;1;13
60870;1;13
60871;1;13
60872;1;13
60873;1;13
60874;1;13
60875;1;13
60876;1;13
60877;1;13
60879;1;13
60880;1;13
60881;1;13
60882;1;13
60883;1;13
60884;1;13
60885;1;13
60886;1;13
60887;1;13
61241;5;23
61242;5;23
61243;5;23
61244;5;23
61245;5;23
61460;6;3
61522;6;3
61580;7;18
61581;7;18
61582;7;18
61608;5;22
61609;5;22
61610;5;22
61611;5;22
61613;5;22
61614;5;22
61615;5;22
61617;5;22
61618;5;22
61653;7;18
61654;7;18
61655;7;18
61656;7;18
61657;7;18
61658;7;18
61659;7;18
61660;7;18
61661;7;18
61662;7;18
61663;7;18
61664;7;18
61665;7;18
61666;7;18
61667;7;18
61668;7;18
61669;7;18
61670;7;18
61671;7;18
61672;7;18
61673;7;18
61674;7;18
61675;7;18
61676;7;18
61677;7;18
61678;7;18
61679;7;18
61680;7;18
61681;7;18
61682;7;18
61683;7;18
61708;7;15
61709;7;15
61710;7;15
61711;7;18
61712;7;15
61713;7;15
61714;7;15
61715;7;18
61716;7;18
