id_ciudadano_incidente;id_adjunto_archivo
3736970;944430
3736970;944431
3737017;944497
4168771;1091720
4170167;1092319
4170179;1092323
4170218;1092331
4170225;1092334
4170242;1092346
4170253;1092349
4170259;1092351
4170262;1092354
4170263;1092355
4170265;1092356
4170268;1092357
4170275;1092363
4170278;1092364
4170279;1092366
4170281;1092369
4170290;1092377
4170292;1092381
4170298;1092385
4170300;1092387
4170302;1092397
4170304;1092400
4170305;1092401
4170307;1092403
4170308;1092412
4170309;1092413
4170311;1092416
4170312;1092417
4170313;1092418
4170315;1092420
4175116;1093954
4175116;1093955
4175125;1093962
4175132;1093969
4175132;1093970
4175139;1093971
4175145;1093975
4175145;1093976
4175150;1093981
4175157;1093983
4175157;1093984
4175175;1093997
4175180;1094000
4175184;1094005
4175195;1094007
4175195;1094008
4175198;1094011
4175202;1094014
4175202;1094015
4175214;1094020
4175223;1094029
4180879;1095537
4180883;1095542
4180890;1095546
4180896;1095550
4180898;1095555
4180906;1095557
4180912;1095558
4180918;1095559
4180925;1095564
4180931;1095565
4180935;1095569
4180938;1095570
4180940;1095571
4180942;1095572
4180945;1095573
4180950;1095575
4180952;1095577
4180961;1095580
4180964;1095582
4180969;1095585
4180971;1095586
4180973;1095587
4180979;1095588
4180987;1095593
4180989;1095594
4180991;1095596
4180994;1095597
4181001;1095600
4181005;1095601
4181008;1095602
4181012;1095603
4181014;1095604
4181030;1095609
4181035;1095611
4188499;1097844
4188569;1097860
4188591;1097864
4188607;1097871
4188618;1097876
4188722;1097892
4188759;1097901
4188770;1097903
4188857;1097926
4188929;1097944
4188950;1097947
4188977;1097952
4188993;1097960
4386720;1151943
4386828;1151994
4448747;1175201
4448747;1175202
4524170;1203887
4543505;1211667
4618115;1241822
4630332;1248311
4630332;1248312
4697895;1276251
4697929;1276272
4737485;1296566
5314571;1483044
5314639;1483050
5315080;1483152
5315137;1483167
5315170;1483179
5315270;1483220
5315313;1483235
5315359;1483254
5315414;1483278
5315473;1483303
5315548;1483336
5315849;1483418
5315878;1483428
5315889;1483430
5315909;1483442
5315929;1483454
5315959;1483485
5315973;1483504
5315987;1483516
5317762;1484661
5358982;1503879
5363108;1505513
5372843;1510395
5375518;1511552
5375518;1511553
5375528;1511563
5375528;1511564
5375544;1511568
5375544;1511569
5392872;1518869
5392872;1518870
5411762;1528225
5411762;1528226
5422104;1532864
5431214;1538438
5431214;1538439
5431253;1538475
5431253;1538476
5431275;1538482
5431287;1538489
5431404;1538557
5431423;1538562
5443476;1545263
5443531;1545283
5443563;1545297
5443601;1545308
5443628;1545327
5443770;1545389
5443782;1545399
5446000;1546859
5447056;1547208
5447133;1547275
5447165;1547290
5447213;1547300
5447244;1547310
5447283;1547324
5447499;1547400
5447558;1547432
5447692;1547475
5447751;1547494
5447888;1547547
5448097;1547668
5448514;1547845
5448863;1548035
5454728;1550553
5455447;1551213
5478780;1564534
5485011;1566294
5485063;1566310
5485063;1566311
5485153;1566401
5485153;1566402
